Year,Month,District,Rainfall_mm,SoilMoisture,Temperature_C,Humidity_%,NDVI,Evapotranspiration_mm,GroundwaterLevel_m,Drought_Index,Crop_Yield_Loss_%
2000,10,Sunsari,360.42,0.4,16.1,76.5,0.38,77.63,4.24,0.06,1.61
2000,10,Saptari,73.8,0.19,30.3,45.8,0.49,116.01,14.5,0.73,20.54
2000,10,Siraha,283.83,0.14,24.5,57.1,0.22,37.67,6.16,0.29,2.38
2000,10,Dhanusha,359.83,0.35,37.4,56,0.56,51.42,6.26,0.05,0.83
2000,10,Mahottari,130.6,0.32,27.2,50.9,0.43,39.38,2.29,0.3,3.96
2000,10,Sarlahi,42.99,0.36,17.6,80.6,0.63,70.14,2.95,0.38,7.23
2000,10,Rautahat,231.85,0.14,35.6,75.5,0.23,46.24,11.78,0.26,7.49
2000,10,Bara,115.71,0.07,34.7,85.5,0.39,45.44,8.71,0.78,26.8
2000,10,Parsa,17.42,0.36,28.2,51.5,0.46,116.73,14.56,0.54,12.04
2000,10,Chitwan,57.46,0.42,30.4,78.7,0.46,94.52,11.69,0.36,3.17
2000,10,Nawalparasi,367.96,0.22,21.7,61,0.58,74.04,9.73,0.04,0.64
2000,10,Rupandehi,61.2,0.24,30.9,60.7,0.68,84.13,4.15,0.61,29.57
2000,10,Kapilvastu,314.52,0.22,31,44.2,0.5,51.36,12.35,0.11,1.19
2000,10,Dang,209.96,0.13,16.5,77.2,0.5,84.94,11.19,0.28,6.92
2000,10,Banke,291.12,0.21,29.5,87.4,0.55,74.8,9.76,0.18,0.94
2000,10,Bardiya,77.16,0.41,16.2,46.6,0.39,57.46,10.14,0.24,5.07
2000,10,Kailali,352.94,0.38,30,65,0.48,141.28,12.8,0.04,1.5
2000,10,Kanchanpur,280.75,0.28,28.5,57.9,0.4,80.07,3.02,0.2,2.49
2000,11,Jhapa,278.33,0.43,37.2,74.8,0.53,98.86,4.41,0.15,1.21
2000,11,Morang,28.26,0.16,30.4,55.5,0.39,26.48,12.81,0.88,29.37
2000,11,Sunsari,25.24,0.08,20.8,80.2,0.31,120.66,6.18,0.59,11.15
2000,11,Saptari,69.54,0.25,30.8,51.4,0.59,98.15,14.02,0.65,26.87
2000,11,Siraha,197.49,0.4,16.8,53,0.23,50.33,10.23,0.21,2.86
2000,11,Dhanusha,76.1,0.23,29.1,87.3,0.35,59.09,9.98,0.68,15.89
2000,11,Mahottari,269.9,0.36,23.4,62.8,0.36,79.05,12.49,0.14,1.27
2000,11,Sarlahi,338.69,0.45,16.7,46.6,0.23,39.45,7,0.06,1.65
2000,11,Rautahat,348.27,0.06,22.3,85.6,0.31,141.1,10.7,0.1,0.29
2000,11,Bara,388.93,0.25,20.4,42,0.32,48.98,11.21,0.01,0.64
2000,11,Parsa,20.54,0.29,29.8,66.7,0.6,68.34,12.48,0.8,24.07
2000,11,Chitwan,42.19,0.37,36.9,47.3,0.24,70.88,8.34,0.49,13.77
2000,11,Nawalparasi,347.08,0.16,33,51,0.6,97.75,4.5,0.11,1.92
2000,11,Rupandehi,18.94,0.15,22.9,62,0.7,67.63,11.81,0.74,16.81
2000,11,Kapilvastu,313.95,0.44,20.5,72.6,0.72,100.84,12.62,0.12,1.47
2000,11,Dang,169.58,0.14,16.6,56.4,0.52,148.74,11.59,0.32,6.79
2000,11,Banke,330.88,0.36,21.5,81.8,0.21,35.36,13.4,0.08,1.58
2000,11,Bardiya,118.08,0.16,33.2,52.1,0.76,121.29,9.87,0.47,13.73
2000,11,Kailali,210.3,0.14,33.6,81.2,0.43,128.38,6.96,0.21,3.57
2000,11,Kanchanpur,133.33,0.23,29.2,65.4,0.24,143.27,9.46,0.31,2.15
2000,12,Jhapa,335.76,0.4,27,69.8,0.76,28.42,3.47,0.09,1.52
2000,12,Morang,141.63,0.24,22.5,89.9,0.44,126.94,9.72,0.27,4.79
2000,12,Sunsari,314.75,0.16,21.1,51.5,0.4,129.62,2.35,0.2,2.89
2000,12,Saptari,361.97,0.31,20.2,52.8,0.33,132.14,13.62,0.06,1.11
2000,12,Siraha,168.2,0.38,32.7,56.3,0.69,87.39,13.85,0.33,6.55
2000,12,Dhanusha,62.67,0.33,27.4,54.7,0.71,30.55,12.97,0.33,3.64
2000,12,Mahottari,261.94,0.07,29,66.9,0.63,67.94,4.8,0.22,6.24
2000,12,Sarlahi,333.28,0.18,20.8,40.2,0.37,143.39,6.67,0.11,0.33
2000,12,Rautahat,312.67,0.33,18,59.1,0.79,99.05,8.51,0.09,1.91
2000,12,Bara,359.47,0.15,21.6,70.5,0.27,118.69,9.74,0.05,1.74
2000,12,Parsa,87.39,0.31,32.6,77.9,0.41,124.18,6.53,0.48,10.58
2000,12,Chitwan,13.49,0.27,37.3,43.1,0.79,56.63,7.74,0.51,13.04
2000,12,Nawalparasi,349.34,0.28,23.9,54.1,0.27,143.08,8.89,0.08,1.26
2000,12,Rupandehi,140.09,0.16,28.8,81.3,0.76,131.37,7.98,0.52,10.77
2000,12,Kapilvastu,169.24,0.15,37.6,46.7,0.38,62.08,14.87,0.36,7.02
2000,12,Dang,304.21,0.42,26.8,60.8,0.2,68.76,3.45,0.07,0.57
2000,12,Banke,316.01,0.23,24.9,55.4,0.53,95.62,13.13,0.14,1.14
2000,12,Bardiya,328.67,0.28,21.9,51.5,0.38,66.95,10.1,0.14,0.11
2000,12,Kailali,368.13,0.28,36.2,53.6,0.23,64.54,2.3,0.06,0.26
2000,12,Kanchanpur,344.8,0.06,25,71.2,0.27,74.19,12.91,0.07,0.14
2001,1,Jhapa,294.7,0.19,36.7,85.9,0.63,74.83,7.54,0.13,1.05
2001,1,Morang,230.56,0.33,24.6,65.1,0.33,114.06,9.9,0.33,3.41
2001,1,Sunsari,249.61,0.13,33.3,60.3,0.77,135.84,6.18,0.34,7.83
2001,1,Saptari,323.36,0.29,27.6,42.1,0.76,89.68,8.69,0.1,0.83
2001,1,Siraha,27.77,0.05,36,70.5,0.45,80.91,12.99,0.91,22.39
2001,1,Dhanusha,243.8,0.17,34.2,53.4,0.3,26.91,4.49,0.29,5.15
2001,1,Mahottari,112.92,0.32,20,65.4,0.61,31.85,3.91,0.46,10.77
2001,1,Sarlahi,368.76,0.39,37.3,71.1,0.59,107.86,10.13,0.03,1.65
2001,1,Rautahat,58.85,0.27,23.9,58,0.47,88.07,3.67,0.67,21.73
2001,1,Bara,25.38,0.44,17.7,46.8,0.36,135.87,8.28,0.3,7.47
2001,1,Parsa,153.69,0.1,19.6,69.3,0.23,76.97,12.49,0.38,3.44
2001,1,Chitwan,242.54,0.13,22.9,64.2,0.71,31.42,13.15,0.33,5.35
2001,1,Nawalparasi,334.86,0.18,22.8,88.6,0.65,122.05,4.99,0.07,1.69
2001,1,Rupandehi,33.8,0.08,28.7,41.3,0.63,144.92,7.26,0.55,8.3
2001,1,Kapilvastu,241.16,0.17,25,61.3,0.49,28.39,8.32,0.22,3.4
2001,1,Dang,285.02,0.31,19.3,72.9,0.32,52.63,4.33,0.12,1.74
2001,1,Banke,397.77,0.31,29,88.5,0.45,60.64,13.84,0,0.65
2001,1,Bardiya,198.71,0.17,32.7,46.2,0.28,119.53,12.65,0.43,12.69
2001,1,Kailali,390.74,0.44,36.5,61,0.5,51.99,9.57,0.01,1.53
2001,1,Kanchanpur,82.38,0.22,30.3,77.5,0.24,63.34,2.23,0.52,12.69
2001,2,Jhapa,256.28,0.08,37.2,79.4,0.21,96.69,12.09,0.33,5.3
2001,2,Morang,13.71,0.41,36.1,68.1,0.54,82.67,2.58,0.3,5.54
2001,2,Sunsari,163.75,0.36,24.3,47,0.61,33.18,3.73,0.24,5.5
2001,2,Saptari,18.21,0.27,33.3,57,0.57,94.74,10.85,0.35,6.21
2001,2,Siraha,144.78,0.18,31.4,87.1,0.3,21.69,9.75,0.47,10.58
2001,2,Dhanusha,243.76,0.36,30.5,51.2,0.5,113.39,12.71,0.28,2.99
2001,2,Mahottari,134.45,0.14,25.4,83,0.73,64.88,6.87,0.37,5.22
2001,2,Sarlahi,206.15,0.26,34.8,48.9,0.49,108.6,3.11,0.41,13.21
2001,2,Rautahat,161.75,0.25,37.2,88.2,0.78,130.66,6.1,0.31,5.34
2001,2,Bara,275.74,0.21,31.1,72.3,0.21,39,12.79,0.21,2.96
2001,2,Parsa,145.68,0.25,35.8,54.7,0.58,71.76,3.56,0.31,5.65
2001,2,Chitwan,391.34,0.22,25.9,74.7,0.5,134.93,9.85,0.01,0.65
2001,2,Nawalparasi,155.77,0.06,36.4,80.8,0.77,143.39,14.27,0.39,2.72
2001,2,Rupandehi,273.84,0.39,28.8,57.6,0.28,70.86,14.63,0.13,0.06
2001,2,Kapilvastu,347.13,0.09,22.7,49.7,0.41,26.71,3.55,0.11,1.3
2001,2,Dang,335.13,0.08,21.9,72.2,0.21,110.43,10.06,0.13,0.81
2001,2,Banke,149.75,0.13,31.6,52.4,0.69,38.02,8.33,0.34,2.25
2001,2,Bardiya,67.24,0.34,27.4,82.4,0.33,60.3,14.57,0.58,13.2
2001,2,Kailali,351.98,0.23,29.3,69.7,0.43,30.1,7.21,0.1,0.4
2001,2,Kanchanpur,114.86,0.39,18.5,42,0.42,36.24,7.26,0.39,6.48
2001,3,Jhapa,109.02,0.21,26,65.5,0.53,55.75,8.8,0.62,25.11
2001,3,Morang,126.47,0.38,27.5,89.1,0.4,143.15,12.99,0.48,13.73
2001,3,Sunsari,276.89,0.2,21.5,84.1,0.6,147.51,10.15,0.19,0.11
2001,3,Saptari,131.64,0.21,35.8,62.4,0.65,147.58,12.07,0.5,11.97
2001,3,Siraha,212.43,0.41,27.7,44.8,0.35,76.63,8.71,0.31,3.51
2001,3,Dhanusha,297.51,0.09,24.3,57.1,0.68,80.78,12.95,0.2,3.86
2001,3,Mahottari,383.05,0.13,15.9,89.2,0.72,117.79,5.02,0.02,0.36
2001,3,Sarlahi,200.91,0.43,26.6,66.7,0.48,78.39,6.35,0.21,5
2001,3,Rautahat,181.02,0.06,21,78.2,0.33,132.77,9.79,0.52,13.04
2001,3,Bara,382.73,0.31,37.6,63.5,0.39,44.21,7.24,0.02,0.78
2001,3,Parsa,358.14,0.27,21.7,68.8,0.65,85.76,4.11,0.08,1.84
2001,3,Chitwan,364.56,0.39,28.5,77.6,0.43,31.31,8.11,0.05,1.19
2001,3,Nawalparasi,144.11,0.14,36.4,47.2,0.69,102.98,3.78,0.58,12.67
2001,3,Rupandehi,41.29,0.3,17.7,62.7,0.71,149.09,6.76,0.73,16.17
2001,3,Kapilvastu,284.67,0.42,35.6,74.4,0.23,41.98,11.81,0.1,0
2001,3,Dang,53.29,0.25,33,79.1,0.33,133.27,2.69,0.34,2.3
2001,3,Banke,246.33,0.18,31.6,74.3,0.67,141.41,6.78,0.16,0.55
2001,3,Bardiya,241.05,0.26,35.5,48.9,0.2,56.67,9,0.15,0.89
